Year,Team,Total Prize Money (Year),Number of Tournaments
2018,Immortals,"$126,022.96 ",1
2018,FlyToMoon,"$125,000.00 ",1
2018,Ting,"$124,745.26 ",1
2018,eStar Gaming,"$120,948.60 ",1
2018,FlipSid3 Tactics,"$118,065.42 ",1
2018,Team Empire,"$116,943.64 ",1
2018,Actoz Stars,"$116,375.50 ",1
2018,Team Gamer Sensei,"$113,850.00 ",1
2018,Counter Logic Gaming,"$107,088.51 ",1
2018,KaBuM! e-Sports,"$105,033.11 ",1
2018,Elevate,"$104,000.00 ",1
2018,Thailand National Player,"$103,815.58 ",1
2018,Tainted Minds,"$102,746.20 ",1
2018,Geek Fam,"$101,752.00 ",1
2018,Epsilon eSports,"$101,738.12 ",1
2018,Houston Outlaws,"$101,172.00 ",1
2018,Griffin,"$96,776.00 ",1
2018,ROX Gaming,"$95,893.82 ",1
2018,SuperMassive Blaze,"$95,638.00 ",1
2018,Myztro Gaming,"$93,088.54 ",1
2018,UYU,"$92,403.01 ",1
2018,Team Singularity,"$92,303.51 ",1
2018,Panda Global,"$91,629.37 ",1
2018,Kaos Latin Gamers,"$91,406.35 ",1
2018,ALTERNATE aTTaX,"$89,640.50 ",1
2018,Taiwanese National Team,"$89,000.00 ",1
2018,MAD Lions,"$87,080.81 ",1
2018,Team QLASH,"$85,431.02 ",1
2018,HAVU Gaming,"$83,982.77 ",1
2018,LeStream Esport,"$83,500.00 ",1
2018,Dire Wolves,"$83,181.34 ",1
2018,Team Roccat,"$83,042.50 ",1
2018,PSISTORM Gaming,"$82,193.57 ",1
2018,Team Queso,"$80,332.92 ",1
2018,M19,"$79,483.25 ",1
2018,ROOT Gaming,"$77,627.81 ",1
2018,Bravado Gaming,"$76,563.10 ",1
2018,Misfits,"$76,406.63 ",1
2018,Canadian National Team,"$75,400.00 ",1
2018,Seoul Dynasty,"$75,000.00 ",1
2018,Gale Force eSports,"$74,000.00 ",1
2018,RunAway,"$73,881.30 ",1
2018,Endpoint,"$73,712.32 ",1
2018,7more7 Pompa Team,"$72,563.08 ",1
2018,Str8 Rippin,"$72,500.00 ",1
2018,Nordavind,"$71,848.38 ",1
2018,EHOME,"$71,751.49 ",1
2018,Made in Thailand,"$71,327.69 ",1
2018,Arma Team,"$71,245.59 ",1
2018,Libalent,"$70,992.00 ",1
2018,Team Allegiance,"$70,028.33 ",1
2018,Fable eSports,"$69,500.00 ",1
2018,T1,"$69,444.05 ",1
2018,Legacy eSports,"$67,651.61 ",1
2018,exceL eSports,"$66,276.01 ",1
2018,Top Esports,"$65,652.66 ",1
2018,Brøndby IF eSport,"$64,770.00 ",1
2018,Grayhound Gaming,"$62,946.27 ",1
2018,PONOS Sports,"$62,500.00 ",1
2018,3DMAX,"$62,069.20 ",1
2018,PSV Esports,"$61,000.00 ",1
2018,FlyQuest,"$60,936.25 ",1
2018,Finnish National Team,"$60,850.00 ",1
2018,Movistar Riders,"$60,254.30 ",1
2018,American National Team,"$60,000.00 ",1
2018,Oserv Esport,"$59,106.41 ",1
2018,Schalke 04 Esports,"$58,423.50 ",1
2018,Giants Gaming,"$58,420.80 ",1
2018,TitanEX1,"$58,230.99 ",1
2018,Astral Authority,"$56,500.00 ",1
2018,Brazilian National Team,"$55,000.00 ",1
2018,SG e-sports,"$54,500.00 ",1
2018,Swole Patrol,"$53,950.00 ",1
2018,Manchester City eSports,"$53,150.00 ",1
2018,Florida Mayhem,"$52,816.50 ",1
2018,Sharks Esports,"$52,161.75 ",1
2018,Team Gigantti,"$51,868.45 ",1
2018,SinoDragon,"$51,549.80 ",1
2018,Execration,"$50,500.00 ",1
2018,Dallas Fuel,"$50,000.00 ",1
2018,Mercedes-AMG Petronas Esports,"$50,000.00 ",1
2018,Polar Ace,"$50,000.00 ",1
2018,San Francisco Shock,"$50,000.00 ",1
2018,x6tence,"$49,023.48 ",1
2018,Team Unique,"$48,710.40 ",1
2018,Origen,"$48,501.80 ",1
2018,Infinity Esports,"$48,375.00 ",1
2018,Rift Esports,"$48,079.11 ",1
2018,INTZ eSports,"$48,044.72 ",1
2018,Sprout,"$47,426.76 ",1
2018,forZe,"$47,296.05 ",1
2018,BOOM Esports,"$46,570.00 ",1
2018,Fade 2 Karma,"$46,550.00 ",1
2018,Obey Alliance,"$46,250.00 ",1
2018,Isurus Gaming,"$45,058.27 ",1
2018,Norweigan National Team,"$45,000.00 ",1
2018,Team Skadis Gift,"$44,486.08 ",1
2018,British National Team,"$43,000.00 ",1
2018,FURIA Esports,"$42,157.56 ",1
2018,OSC Elite,"$40,737.28 ",1
2018,Cream Esports,"$40,000.00 ",1
2018,Toro Rosso Esports Team,"$40,000.00 ",1
2018,University of Illinois at Urbana-Champaign,"$40,000.00 ",1
2018,Talon Esports,"$39,523.00 ",1
2018,Keyd Stars,"$39,148.73 ",1
2018,QM Gaming,"$38,430.50 ",1
2018,Lightning Pandas,"$37,829.32 ",1
2018,DeToNator,"$37,285.75 ",1
2018,Unlimited Potential,"$36,983.20 ",1
2018,Ajax Amsterdam eSports,"$36,426.12 ",1
2018,Sunsister,"$36,080.00 ",1
2018,GameWith,"$36,000.00 ",1
2018,Kanga Esports,"$36,000.00 ",1
2018,Dutch National Team,"$35,500.00 ",1
2018,Swedish National Team,"$35,400.00 ",1
2018,Forward Gaming,"$35,010.00 ",1
2018,Hong Kong National Team,"$35,000.00 ",1
2018,J.Storm,"$35,000.00 ",1
2018,PRIDE Gaming,"$34,950.75 ",1
2018,French National Team,"$34,750.00 ",1
2018,Australian National Team,"$34,600.00 ",1
2018,froyotech,"$34,456.73 ",1
2018,Hong Kong Attitude,"$34,134.84 ",1
2018,Copenhagen Flames,"$34,006.89 ",1
2018,Sauber F1 Esports Team,"$34,000.00 ",1
2018,Ronin Esports,"$33,876.20 ",1
2018,CR4ZY,"$33,225.50 ",1
2018,against All authority,"$33,080.71 ",1
2018,Radical Online X-tremists,"$32,920.00 ",1
2018,Team Aster,"$32,168.60 ",1
2018,Bilibili Gaming,"$31,582.60 ",1
2018,pro100,"$31,193.81 ",1
2018,Kuala Lumpur Hunters,"$31,000.00 ",1
2018,PACT,"$30,553.65 ",1
2018,SCARZ,"$30,479.36 ",1
2018,Sentinels,"$30,400.00 ",1
2018,mYinsanity,"$30,001.40 ",1
2018,New Zealand National Team,"$30,000.00 ",1
2018,Avant Gaming,"$29,027.83 ",1
2018,Wind and Rain,"$28,896.35 ",1
2018,DefuseKids,"$28,106.46 ",1
2018,Infantry Clan,"$28,103.20 ",1
2018,Cascade,"$27,933.21 ",1
2018,Blank Esports,"$27,129.00 ",1
2018,Spanish National Team,"$27,000.00 ",1
2018,GC Busan,"$26,102.00 ",1
2018,McLaren Shadow,"$26,000.00 ",1
2018,RED Canids,"$25,423.85 ",1
2018,Marines Esports,"$25,020.00 ",1
2018,Shanghai Dragons,"$25,000.00 ",1
2018,Mock-It eSports,"$23,438.94 ",1
2018,Signature Gaming,"$23,177.42 ",1
2018,O'Gaming,"$23,036.14 ",1
2018,Swiss National Team,"$23,000.00 ",1
2018,Team Admiral,"$23,000.00 ",1
2018,Purple Mood E-Sport,"$22,717.25 ",1
2018,Vietnamese National Team,"$22,500.00 ",1
2018,Wildcard Gaming,"$22,195.00 ",1
2018,Ukranian National Team,"$22,000.00 ",1
2018,Asterion,"$21,949.18 ",1
2018,Circa eSports,"$21,551.47 ",1
2018,Energy Esports,"$21,278.31 ",1
2018,ad hoc gaming,"$20,896.86 ",1
2018,Rainbow7,"$20,557.80 ",1
2018,Bulgarian National Team,"$20,000.00 ",1
2018,Clutch Gaming,"$20,000.00 ",1
2018,Hype Energy eForce India,"$20,000.00 ",1
2018,Team Infused,"$20,000.00 ",1
2018,Yeah Gaming,"$19,888.67 ",1
2018,German National Team,"$19,800.00 ",1
2018,Team DK,"$19,648.82 ",1
2018,CYCLOPS athlete gaming,"$19,618.74 ",1
2018,Luminous Stars,"$19,492.64 ",1
2018,Reason Gaming,"$19,489.20 ",1
2018,Polish National Team,"$19,400.00 ",1
2018,SJ Gaming,"$19,152.15 ",1
2018,Danish National Team,"$19,000.00 ",1
2018,Italian National Team,"$19,000.00 ",1
2018,Japanese National Team,"$19,000.00 ",1
2018,Peruvian National Team,"$19,000.00 ",1
2018,Beşiktaş e-Sports Club,"$18,782.08 ",1
2018,Austrian National Team,"$18,600.00 ",1
2018,bbq Olivers,"$18,520.00 ",1
2018,Chaos Esports Club,"$18,350.00 ",1
2018,MEGA Esports,"$17,026.30 ",1
2018,Izako Boars,"$16,663.27 ",1
2018,GameTV,"$16,488.97 ",1
2018,Entity Gaming,"$16,437.82 ",1
2018,Demise,"$16,074.85 ",1
2018,OFFSET Esports,"$16,009.86 ",1
2018,Noble eSports,"$15,900.00 ",1
2018,Ground Zero Gaming,"$15,799.50 ",1
2018,Exalty,"$15,750.46 ",1
2018,CrowCrowd,"$15,710.00 ",1
2018,Kyoto eSports,"$15,640.70 ",1
2018,Bigetron eSports,"$15,411.93 ",1
2018,For The Win Esports,"$15,366.95 ",1
2018,Even Matchup Gaming,"$15,340.18 ",1
2018,k1ck eSports Club,"$14,826.38 ",1
2018,Werder Bremen eSports,"$14,638.80 ",1
2018,Belgian National Team,"$14,400.00 ",1
2018,Tollenz Lions,"$14,323.49 ",1
2018,CNB e-Sports Club,"$14,098.33 ",1
2018,Burrito Esports,"$14,040.00 ",1
2018,Phoenix1,"$13,866.94 ",1
2018,Signify,"$13,829.29 ",1
2018,Armory Gaming,"$13,738.26 ",1
2018,Kazakh National Team,"$13,600.00 ",1
2018,Denial Esports,"$13,435.20 ",1
2018,MnM Gaming,"$13,417.75 ",1
2018,Fudoh,"$13,275.00 ",1
2018,Nemiga Gaming,"$12,831.79 ",1
2018,Nexus Gaming,"$12,623.72 ",1
2018,DreamEaters,"$12,535.70 ",1
2018,Enigma6 Group,"$12,500.00 ",1
2018,Team Heretics,"$12,500.00 ",1
2018,Beyond Esports,"$12,354.84 ",1
2018,H2K,"$12,241.00 ",1
2018,Portugese National Team,"$12,000.00 ",1
2018,Singaporian National Team,"$12,000.00 ",1
2018,Team Revolution,"$11,514.46 ",1
2018,Dragons Esports Club,"$11,506.87 ",1
2018,PotM Bottom,"$11,454.00 ",1
2018,Team SPACECRAFT,"$11,318.56 ",1
2018,Neon Esports,"$10,692.75 ",1
2018,Lucid Dream,"$10,538.71 ",1
2018,Xavier Esports,"$10,493.08 ",1
2018,Mkers,"$10,184.57 ",1
2018,Cooler Esport,"$10,098.22 ",1
2018,Carleton University,"$10,000.00 ",1
2018,Serbian National Team,"$10,000.00 ",1
2018,Williams Esports,"$10,000.00 ",1
2018,Coalition Gaming,"$9,951.55 ",1
2018,Echo Zulu,"$9,942.11 ",1
2018,Planetkey Dynamics,"$9,928.25 ",1
2018,Star Horn Royal Club,"$9,924.12 ",1
2018,mCon esports Rotterdam,"$9,718.99 ",1
2018,Temp.no,"$9,623.79 ",1
2018,Sector One,"$9,584.65 ",1
2018,Mexican National Team,"$9,450.00 ",1
2018,Big 5 Esports,"$9,438.75 ",1
2018,Hanwha Life Esports,"$9,180.00 ",1
2018,The MongolZ,"$9,094.58 ",1
2018,Simplicity Esports,"$8,913.00 ",1
2018,Final-Gaming,"$8,598.67 ",1
2018,Tornado Energy,"$8,594.10 ",1
2018,DAMWON Gaming,"$8,588.00 ",1
2018,VfL Wolfsburg,"$8,554.47 ",1
2018,Chilean National Team,"$8,000.00 ",1
2018,Illuminate,"$8,000.00 ",1
2018,Romanian National Team,"$8,000.00 ",1
2018,Vexed Gaming,"$7,916.53 ",1
2018,Lilmix,"$7,722.68 ",1
2018,CJ Entus,"$7,576.00 ",1
2018,CDEC Gaming,"$7,571.50 ",1
2018,Mentality Esports,"$7,026.80 ",1
2018,Lunatic-hai,"$7,011.00 ",1
2018,The Peeps,"$7,000.00 ",1
2018,Triple Trouble,"$6,813.17 ",1
2018,Dynasty,"$6,749.41 ",1
2018,SYF Gaming,"$6,600.00 ",1
2018,Goliath Gaming,"$6,517.14 ",1
2018,5Power Gaming,"$6,500.00 ",1
2018,Miami Flamingos‏ e-Sports,"$6,413.32 ",1
2018,beastcoast,"$6,297.24 ",1
2018,Team Sampi,"$5,944.59 ",1
2018,Dead Pixels,"$5,912.45 ",1
2018,Lyngby Vikings,"$5,747.20 ",1
2018,Operation Kino eSports,"$5,746.46 ",1
2018,Romandy Gaming,"$5,738.51 ",1
2018,VGBootCamp,"$5,508.32 ",1
2018,Lux Gaming,"$5,500.00 ",1
2018,Team Beast,"$5,310.00 ",1
2018,Nora-Rengo,"$5,260.00 ",1
2018,Mythic,"$5,125.00 ",1
2018,Wayi Spider,"$5,077.35 ",1
2018,Furious Gaming,"$5,073.73 ",1
2018,Haas F1 Esports Team,"$5,000.00 ",1
2018,Justice Esports,"$5,000.00 ",1
2018,Syman Gaming,"$4,781.25 ",1
2018,Elgiganten Gaming,"$4,700.00 ",1
2018,Dark Sided,"$4,632.88 ",1
2018,Orange Esports,"$4,531.45 ",1
2018,Project EVERSIO,"$4,501.44 ",1
2018,Czech National Team,"$4,400.00 ",1
2018,Indonesian National Team,"$4,400.00 ",1
2018,iGame.com,"$4,225.45 ",1
2018,London Esports,"$4,221.90 ",1
2018,2GGaming,"$4,182.92 ",1
2018,k23,"$4,011.00 ",1
2018,Belarusian National Team,"$4,000.00 ",1
2018,Unsold Stuff Gaming,"$4,000.00 ",1
2018,DuSt Gaming,"$3,960.75 ",1
2018,Riddle Esports,"$3,945.76 ",1
2018,dizLown,"$3,902.30 ",1
2018,EnD Gaming,"$3,892.37 ",1
2018,Hippomaniacs,"$3,775.00 ",1
2018,Zerator,"$3,697.09 ",1
2018,White Rabbit Gaming,"$3,682.90 ",1
2018,Sinister5,"$3,670.69 ",1
2018,T Show,"$3,652.85 ",1
2018,Hungarian National Team,"$3,600.00 ",1
2018,Israel National Team,"$3,600.00 ",1
2018,Slovakian National Team,"$3,600.00 ",1
2018,Brutality,"$3,539.69 ",1
2018,AVENUE eSports,"$3,511.26 ",1
2018,Disrupt Gaming,"$3,500.00 ",1
2018,CeX,"$3,375.39 ",1
2018,Fursan Esports,"$3,300.00 ",1
2018,Aftermath,"$3,279.00 ",1
2018,Rascal Jester,"$3,275.00 ",1
2018,Monolith Gaming,"$3,224.00 ",1
2018,Argentinian National Team,"$3,200.00 ",1
2018,Croatian National Team,"$3,200.00 ",1
2018,Malay National Team,"$3,200.00 ",1
2018,Philippines National Team,"$3,200.00 ",1
2018,Turkish National Team,"$3,200.00 ",1
2018,nerdRage,"$3,137.70 ",1
2018,Game Fist,"$3,027.43 ",1
2018,Fierce Esports,"$3,015.20 ",1
2018,Flash Gaming,"$3,000.00 ",1
2018,Selfless Gaming,"$3,000.00 ",1
2018,ZETA DIVISION,"$3,000.00 ",1
2018,IsIMBA,"$2,946.85 ",1
2018,Balance Gaming,"$2,928.87 ",1
2018,Team Requiem,"$2,922.34 ",1
2018,Team Viral,"$2,917.96 ",1
2018,FunPlus Phoenix,"$2,909.38 ",1
2018,Valhalla Vikings,"$2,844.55 ",1
2018,Athletico,"$2,775.00 ",1
2018,Exile5,"$2,664.09 ",1
2018,Team YP,"$2,663.40 ",1
2018,Playing Ducks,"$2,603.29 ",1
2018,Konix eSport,"$2,494.50 ",1
2018,FStep,"$2,493.80 ",1
2018,Mazer Gaming,"$2,460.00 ",1
2018,Brussels Guardians,"$2,343.14 ",1
2018,Granit Gaming,"$2,212.00 ",1
2018,Big Frames,"$2,200.00 ",1
2018,Lebanon National Team,"$2,178.32 ",1
2018,War Legend,"$2,128.81 ",1
2018,Malvinas Gaming,"$2,109.37 ",1
2018,Omnislash,"$2,000.00 ",1
2018,Radix eSports,"$1,956.00 ",1
2018,LiViD Gaming,"$1,909.00 ",1
2018,Team GamerLegion,"$1,723.59 ",1
2018,Myth Gaming,"$1,600.00 ",1
2018,Buriram United Esports,"$1,571.70 ",1
2018,Grow uP Gaming,"$1,544.79 ",1
2018,Rave,"$1,500.00 ",1
2018,Paradox Gaming,"$1,350.00 ",1
2018,Smash Studios,"$1,317.40 ",1
2018,EXPLOSIVE,"$1,250.00 ",1
2018,Fly Society,"$1,205.30 ",1
2018,Game Agents,"$1,198.22 ",1
2018,Control Gaming,"$1,168.50 ",1
2018,orKs Grand Poitiers,"$1,132.26 ",1
2018,Thunder Predator,"$1,000.00 ",1
2018,EarthRoot Gaming,$932.80 ,1
2018,ESPADA,$890.20 ,1
2018,Fraternitas,$836.69 ,1
2018,Team XENEX,$830.00 ,1
2018,King of Gamers Club,$785.85 ,1
2018,Team Oplon,$755.51 ,1
2018,Most Valuable Gaming,$702.30 ,1
2018,Team Blacer,$666.90 ,1
2018,Good Game Labs,$642.62 ,1
2018,ArkAngel,$600.00 ,1
2018,NASR eSports,$600.00 ,1
2018,Mirage,$582.38 ,1
2018,squad,$570.56 ,1
2018,Empire Arcadia,$519.00 ,1
2018,BOT Empire,$500.00 ,1
2018,For Glory,$500.00 ,1
2018,Golden Modem Squad,$500.00 ,1
2018,RBG Esports,$500.00 ,1
2018,InControl Gaming,$498.00 ,1
2018,E-corp Gaming,$492.79 ,1
2018,Team Ascension,$448.00 ,1
2018,Broken Tier,$418.00 ,1
2018,Olympus Esports,$402.40 ,1
2018,Exeed Esports,$375.00 ,1
2018,Unicorns of Love,$372.68 ,1
2018,Eraiize,$360.51 ,1
2018,RELAPSE Gaming,$323.99 ,1
2018,Team Heir,$320.33 ,1
2018,Afterthought,$320.00 ,1
2018,Enemy,$300.00 ,1
2018,Trident Esports,$300.00 ,1
2018,Vicious Syndicate Gaming,$300.00 ,1
2018,Inside Games,$287.50 ,1
2018,Serenity Sports,$271.70 ,1
2018,FATE Esports,$250.00 ,1
2018,Team EGO,$250.00 ,1
2018,GamersLeague eSport,$202.96 ,1
2018,London Conspiracy,$200.00 ,1
2018,Rulers of Rome,$200.00 ,1
2018,Red Coin,$188.80 ,1
2018,Armada Esports,$177.50 ,1
2018,AS Monaco Esports,$145.68 ,1
2018,Trail Gaming League,$127.50 ,1
2018,Valencia CF eSports,$121.31 ,1
2018,TrainHard eSport,$116.60 ,1
2018,Notorious Legion Esport,$95.40 ,1
2018,Dark Origin,$80.88 ,1
2018,BOT,$25.30 ,1
2018,Team LeiFeng,$25.00 ,1
2018,GameTyrant,$17.20 ,1
2018,Team Eager,$0.00 ,1
2017,Team Liquid,"$13,416,982.64 ",1
2017,Newbee,"$4,844,638.34 ",1
2017,LGD Gaming,"$4,815,743.72 ",1
2017,Virtus.pro,"$3,611,311.48 ",1
2017,OpTic Gaming,"$2,528,800.00 ",1
2017,Invictus Gaming,"$2,317,275.91 ",1
2017,Team Envy,"$2,118,572.61 ",1
2017,OG,"$2,010,212.00 ",1
2017,Samsung,"$1,914,174.45 ",1
2017,FaZe Clan,"$1,840,050.00 ",1
2017,Cloud9,"$1,757,264.09 ",1
2017,Fnatic,"$1,605,200.58 ",1
2017,SK Gaming,"$1,572,524.40 ",1
2017,G2 Esports,"$1,549,583.37 ",1
2017,T1,"$1,519,239.45 ",1
2017,Astralis,"$1,463,500.00 ",1
2017,TnC Gaming,"$1,441,398.00 ",1
2017,Team Secret,"$1,345,673.25 ",1
2017,Evil Geniuses,"$1,274,469.38 ",1
2017,Luminosity Gaming,"$1,090,066.28 ",1
2017,Splyce,"$932,929.22 ",1
2017,Gambit Esports,"$895,793.85 ",1
2017,NRG Esports,"$858,501.86 ",1
2017,Team Empire,"$824,532.46 ",1
2017,World Elite,"$822,707.16 ",1
2017,Vici Gaming,"$758,034.19 ",1
2017,Royal Never Give Up,"$727,459.60 ",1
2017,Echo Fox,"$714,421.63 ",1
2017,Gen.G Esports,"$626,785.00 ",1
2017,Team SoloMid,"$604,435.00 ",1
2017,Immortals,"$595,953.96 ",1
2017,Flash Wolves,"$587,579.86 ",1
2017,Chaos Esports Club,"$576,319.00 ",1
2017,mousesports,"$571,212.18 ",1
2017,Team Kinguin,"$563,527.89 ",1
2017,Natus Vincere,"$558,592.24 ",1
2017,Alliance,"$547,624.03 ",1
2017,Misfits,"$521,462.04 ",1
2017,Jin Air Green Wings,"$516,607.16 ",1
2017,North,"$505,660.05 ",1
2017,eUnited,"$466,325.00 ",1
2017,Team Dignitas,"$414,805.36 ",1
2017,Rise Nation,"$406,826.50 ",1
2017,EDward Gaming,"$405,836.40 ",1
2017,Obey Alliance,"$386,685.80 ",1
2017,MVP,"$384,630.70 ",1
2017,Ninjas in Pyjamas,"$374,594.40 ",1
2017,Counter Logic Gaming,"$356,783.56 ",1
2017,Lazarus,"$356,220.44 ",1
2017,Team expert,"$350,780.76 ",1
2017,Panda Global,"$335,718.73 ",1
2017,Gale Force eSports,"$335,036.14 ",1
2017,Renegades,"$322,876.60 ",1
2017,Team One More,"$321,122.23 ",1
2017,Longzhu Gaming,"$320,107.81 ",1
2017,PENTA Sports,"$319,901.29 ",1
2017,Planet Odd,"$302,221.14 ",1
2017,Ballistix,"$300,000.00 ",1
2017,Tempo Storm,"$299,298.57 ",1
2017,compLexity Gaming,"$289,153.22 ",1
2017,Epsilon eSports,"$285,234.13 ",1
2017,Method,"$283,953.77 ",1
2017,GC Busan,"$274,926.51 ",1
2017,Vitality,"$268,855.97 ",1
2017,HellRaisers,"$266,930.00 ",1
2017,Lunatic-hai,"$261,602.19 ",1
2017,FlipSid3 Tactics,"$254,955.32 ",1
2017,Vega Squadron,"$254,335.75 ",1
2017,Infamous,"$241,690.00 ",1
2017,Mineski,"$236,939.50 ",1
2017,TyLoo,"$235,459.74 ",1
2017,ahq e-Sports Club,"$224,726.54 ",1
2017,Marines Esports,"$221,386.60 ",1
2017,Nova eSports,"$220,587.53 ",1
2017,Team Faceless,"$212,533.00 ",1
2017,Ghost Gaming,"$207,900.00 ",1
2017,SG e-sports,"$201,201.55 ",1
2017,Heroic,"$201,150.60 ",1
2017,Rogue,"$194,051.62 ",1
2017,L5,"$192,500.00 ",1
2017,Execration,"$189,967.43 ",1
2017,ENCE eSports,"$186,472.71 ",1
2017,BIG,"$186,178.09 ",1
2017,Space Soldiers,"$183,864.15 ",1
2017,Team LDLC.com,"$169,407.92 ",1
2017,Ting,"$168,292.00 ",1
2017,ROOT Gaming,"$167,806.64 ",1
2017,PSISTORM Gaming,"$165,271.95 ",1
2017,OMG,"$159,965.87 ",1
2017,Team Eager,"$152,500.00 ",1
2017,Tricked eSports,"$148,857.47 ",1
2017,Miraculous Youngster,"$148,594.21 ",1
2017,Team Allegiance,"$148,475.87 ",1
2017,Tempest,"$142,500.00 ",1
2017,RunAway,"$138,018.42 ",1
2017,Millenium,"$136,604.48 ",1
2017,Team Spirit,"$135,906.15 ",1
2017,KT Rolster,"$134,432.74 ",1
2017,Chinese National Team,"$132,957.57 ",1
2017,GamersOrigin,"$122,854.17 ",1
2017,Team Kongdoo,"$122,612.88 ",1
2017,Elevate,"$120,274.85 ",1
2017,Myztro Gaming,"$119,289.66 ",1
2017,EURONICS Gaming,"$119,129.58 ",1
2017,Team Celestial,"$116,115.69 ",1
2017,Enigma6 Group,"$110,000.00 ",1
2017,Chiefs Esports Club,"$107,845.73 ",1
2017,Hong Kong Attitude,"$101,476.92 ",1
2017,Blank Esports,"$96,328.66 ",1
2017,Team KaLiBeR,"$95,000.00 ",1
2017,eStar Gaming,"$94,381.20 ",1
2017,Mock-It eSports,"$92,522.92 ",1
2017,Ukranian National Team,"$91,500.00 ",1
2017,Mindfreak,"$91,166.31 ",1
2017,Str8 Rippin,"$91,000.00 ",1
2017,Team One,"$90,654.12 ",1
2017,RED Canids,"$88,722.17 ",1
2017,Team Infused,"$88,242.79 ",1
2017,Red Reserve,"$86,680.80 ",1
2017,Team TopDeck,"$86,574.32 ",1
2017,Team Singularity,"$84,105.02 ",1
2017,AGO Esports,"$79,478.38 ",1
2017,Supremacy,"$78,686.27 ",1
2017,Unicorns of Love,"$78,189.80 ",1
2017,against All authority,"$77,836.27 ",1
2017,Burrito Esports,"$77,622.41 ",1
2017,SuperMassive Blaze,"$77,099.00 ",1
2017,Afreeca Freecs,"$77,086.38 ",1
2017,Paris Saint-Germain Esports,"$76,648.73 ",1
2017,Black Dragons e-Sports,"$75,712.63 ",1
2017,GODSENT,"$75,124.20 ",1
2017,French National Team,"$75,000.00 ",1
2017,Team NP,"$74,179.00 ",1
2017,I May,"$73,090.20 ",1
2017,HAVU Gaming,"$72,706.26 ",1
2017,wisdom Nerve victory,"$71,925.41 ",1
2017,Schalke 04 Esports,"$71,450.40 ",1
2017,Dire Wolves,"$70,583.12 ",1
2017,Bravado Gaming,"$70,346.51 ",1
2017,Arma Team,"$70,233.41 ",1
2017,Phoenix1,"$69,266.09 ",1
2017,PRIDE Gaming,"$68,966.05 ",1
2017,Endpoint,"$68,143.25 ",1
2017,1907 Fenerbahçe Esports,"$67,412.84 ",1
2017,Qiao Gu Reapers,"$65,372.00 ",1
2017,Northern Gaming,"$64,936.11 ",1
2017,Team Queso,"$62,816.01 ",1
2017,Team Random,"$62,500.00 ",1
2017,Thunderbirds,"$62,500.00 ",1
2017,Lyon Gaming,"$62,452.00 ",1
2017,Korean National Team,"$62,045.20 ",1
2017,Tainted Minds,"$61,778.67 ",1
2017,Czech National Team,"$61,500.00 ",1
2017,Team RivaL,"$60,805.20 ",1
2017,Rex Regum Qeon,"$60,635.00 ",1
2017,American National Team,"$59,802.95 ",1
2017,Young Miracles,"$59,083.80 ",1
2017,EHOME,"$58,618.40 ",1
2017,VfL Wolfsburg,"$58,446.57 ",1
2017,exceL eSports,"$57,738.54 ",1
2017,Energy Esports,"$57,516.18 ",1
2017,Denial Esports,"$57,256.70 ",1
2017,X-Team,"$56,210.22 ",1
2017,Reason Gaming,"$54,806.96 ",1
2017,Infantry Clan,"$54,660.00 ",1
2017,Team Naventic,"$54,000.00 ",1
2017,ALTERNATE aTTaX,"$51,774.70 ",1
2017,Star Horn Royal Club,"$50,979.00 ",1
2017,Selfless Gaming,"$50,876.58 ",1
2017,ROX Gaming,"$50,811.04 ",1
2017,H2K,"$49,765.15 ",1
2017,Team Gigantti,"$47,585.97 ",1
2017,Wings Gaming,"$47,179.00 ",1
2017,mYinsanity,"$47,138.98 ",1
2017,Kaos Latin Gamers,"$46,393.00 ",1
2017,Dead Pixels,"$46,062.35 ",1
2017,AVANGAR,"$40,500.00 ",1
2017,Keen Gaming,"$40,000.00 ",1
2017,German National Team,"$39,750.00 ",1
2017,iGame.com,"$37,149.12 ",1
2017,JD Gaming,"$37,132.60 ",1
2017,Mysterious Monkeys,"$37,034.03 ",1
2017,Team QLASH,"$36,720.84 ",1
2017,Four Angry Men,"$36,440.00 ",1
2017,Movistar Riders,"$36,233.54 ",1
2017,Most Valuable Gaming,"$35,601.85 ",1
2017,7more7 Pompa Team,"$34,562.14 ",1
2017,Vox Eminor,"$34,524.52 ",1
2017,x6tence,"$34,129.59 ",1
2017,Prophecy,"$34,100.10 ",1
2017,M19,"$33,922.25 ",1
2017,paiN Gaming,"$33,835.64 ",1
2017,Planetkey Dynamics,"$33,637.97 ",1
2017,INTZ eSports,"$33,545.60 ",1
2017,Isurus Gaming,"$33,511.50 ",1
2017,LuxuryWatch,"$33,096.10 ",1
2017,J Team,"$32,407.60 ",1
2017,Giants Gaming,"$32,097.01 ",1
2017,Italian National Team,"$32,000.00 ",1
2017,Swedish National Team,"$31,500.00 ",1
2017,Winners,"$31,449.30 ",1
2017,Noble eSports,"$30,500.00 ",1
2017,Nexus Gaming,"$30,493.63 ",1
2017,FlyQuest,"$29,800.00 ",1
2017,Illuminar Gaming,"$29,299.08 ",1
2017,Team Orcus,"$28,863.80 ",1
2017,CJ Entus,"$28,806.40 ",1
2017,GameTV,"$28,618.09 ",1
2017,Polish National Team,"$28,500.00 ",1
2017,Spanish National Team,"$28,500.00 ",1
