Year,Player ID,Player Name,Total Prize Money (Year),Total Prize Money (Overall),% of Total
2001,Windboy,"Lin, Xiao Gang","$3,000.00 ","$5,500.00 ",54.55%
2001,mty,"Ma, Tian Yuan","$3,000.00 ","$4,750.00 ",63.16%
2001,Core,- -,"$3,000.00 ","$3,000.00 ",100.00%
2001,DeaD,- -,"$3,000.00 ","$3,000.00 ",100.00%
2001,Deep,"-, -","$3,000.00 ","$3,000.00 ",100.00%
2001,Tianqi,"-, -","$3,000.00 ","$3,000.00 ",100.00%
2001,Moto,Dave Geffon,"$2,800.00 ","$45,266.66 ",6.19%
2001,CrashJack,Jack Nielsen,"$2,694.04 ","$2,986.15 ",90.22%
2001,Death,Alexey Alexeev,"$2,626.20 ","$2,877.71 ",91.26%
2001,Pele,Roman Tatarinov,"$2,492.37 ","$2,992.37 ",83.29%
2001,Sonjjang,"Son, Seung Wan","$2,448.30 ","$2,448.30 ",100.00%
2001,myssE,Antti Larte,"$2,364.68 ","$7,043.86 ",33.57%
2001,HawFchik,- -,"$2,250.00 ","$2,350.00 ",95.74%
2001,pret,Jochen Grund,"$2,214.40 ","$3,162.64 ",70.02%
2001,Jap,Jan Perius,"$2,214.40 ","$2,527.76 ",87.60%
2001,Robkill,Robert Winkler,"$2,214.40 ","$2,527.76 ",87.60%
2001,KaLbI4,Alexander Gribov,"$2,200.00 ","$24,923.55 ",8.83%
2001,NooK,Alexei Kozlovski,"$2,200.00 ","$22,039.81 ",9.98%
2001,Rider,Khan Viacheslav,"$2,200.00 ","$17,731.02 ",12.41%
2001,MadFan,Vitaly Pochinkin,"$2,200.00 ","$13,929.51 ",15.79%
2001,Alarik,Yuriy Terentyev,"$2,200.00 ","$2,200.00 ",100.00%
2001,B!tch,Ebbe Sønderskov,"$2,094.04 ","$4,094.04 ",51.15%
2001,NituZ,Uffe Sønderskov,"$2,094.04 ","$4,094.04 ",51.15%
2001,Afflictor,Michael Wedelgård,"$2,094.04 ","$2,309.54 ",90.67%
2001,MuGGz,Sebastian di Lucci,"$2,094.04 ","$2,309.54 ",90.67%
2001,H.O.T-Forever,"Gyung, Kang Doh","$2,000.00 ","$35,198.92 ",5.68%
2001,natu,Joona Leppänen,"$2,000.00 ","$34,301.47 ",5.83%
2001,Donald,Mika Kanervisto,"$2,000.00 ","$2,000.00 ",100.00%
2001,Robin,Betro Hakala,"$2,000.00 ","$2,000.00 ",100.00%
2001,scratch,Aki Peltoniemi,"$2,000.00 ","$2,000.00 ",100.00%
2001,Slinger,Markus Paege,"$1,973.50 ","$3,628.73 ",54.39%
2001,DevilZ_Loko,Magnus Haslebo,"$1,856.66 ","$2,863.27 ",64.84%
2001,w!$eGUy,Ted Georgoudakis,"$1,800.00 ","$13,876.67 ",12.97%
2001,Gusto,- -,"$1,800.00 ","$5,966.67 ",30.17%
2001,NG_DeathKnight,Francois Vignon,"$1,785.32 ","$1,785.32 ",100.00%
2001,LakermaN,Oskar Ljungström,"$1,750.80 ","$46,767.01 ",3.74%
2001,Pow3r,Andrew Alexandrov,"$1,639.95 ","$3,392.61 ",48.34%
2001,MuSe,Thomas Gross,"$1,625.00 ","$3,375.00 ",48.15%
2001,Myth_Osiris,Tim Taminiau,"$1,625.00 ","$2,975.00 ",54.62%
2001,VicoN,Esben Nicolaisen,"$1,613.22 ","$6,463.53 ",24.96%
2001,Chris,Chris Bourque,"$1,600.00 ","$38,517.29 ",4.15%
2001,Naikon,Lars Olaisen,"$1,600.00 ","$31,902.33 ",5.02%
2001,DarK,Ruben Bielenberg,"$1,600.00 ","$18,183.20 ",8.80%
2001,Starwatch,Daniel Rekkedal Carvallo,"$1,600.00 ","$1,950.00 ",82.05%
2001,Minatory,Harald Svendsen,"$1,600.00 ","$1,600.00 ",100.00%
2001,Wise Guy,Stian Holter,"$1,600.00 ","$1,600.00 ",100.00%
2000,Fatal1ty,Johnathan Wendel,"$94,974.32 ","$458,489.23 ",20.71%
2000,ZeRo4,John Hill,"$52,750.00 ","$164,646.66 ",32.04%
2000,LakermaN,Oskar Ljungström,"$45,016.21 ","$46,767.01 ",96.26%
2000,Mozory,"Chung, Myung Jin","$25,050.00 ","$25,050.00 ",100.00%
2000,GoRush,"Park, Tae Min","$25,000.00 ","$105,263.65 ",23.75%
2000,Lee Ji Hoon,"Lee, Ji Hoon","$25,000.00 ","$25,000.00 ",100.00%
2000,I.Love_Star,"Jang, Il Seok","$20,393.24 ","$20,393.24 ",100.00%
2000,Makaveli,Victor Cuadra,"$20,300.00 ","$33,300.00 ",60.96%
2000,Grrrr...,Guillaume Patry,"$17,977.49 ","$62,965.83 ",28.55%
2000,GARIMTO,"Kim, Dong Soo","$17,600.00 ","$25,138.08 ",70.01%
2000,IamJordan,Yu Kuei Huang,"$15,000.00 ","$19,600.00 ",76.53%
2000,Park Jin Hyung,"Park, Jin Hyung","$15,000.00 ","$15,000.00 ",100.00%
2000,DOOMer,Tomi Kärnä,"$13,145.00 ","$13,145.00 ",100.00%
2000,Timber,Ian Holder,"$11,000.00 ","$11,600.00 ",94.83%
2000,C3,Timothy Cowan,"$10,070.00 ","$10,070.00 ",100.00%
2000,PowerK,"Kim, Min Woo","$10,000.00 ","$10,000.00 ",100.00%
2000,blue,Henrik Björk,"$9,800.00 ","$15,660.29 ",62.58%
2000,TheMarine,"Kim, Jeong Min","$8,988.75 ","$33,172.51 ",27.10%
2000,Slayer,Fredrik Østervold,"$8,988.75 ","$10,406.25 ",86.38%
2000,Blokey,Chris Hoare,"$7,546.80 ","$10,796.80 ",69.90%
2000,dethstalker,Ryan Brown,"$7,300.00 ","$7,300.00 ",100.00%
2000,Byun,"Byun, Sung Chul","$6,292.12 ","$10,597.57 ",59.37%
2000,Koven,"Lee, Jae Baek","$6,250.00 ","$17,675.00 ",35.36%
2000,czm,Paul Nelson,"$6,000.00 ","$68,100.00 ",8.81%
2000,NTT,Anker Scharn,"$6,000.00 ","$6,210.48 ",96.61%
2000,Lee Ro Su,"Lee, Ro Su","$6,000.00 ","$6,000.00 ",100.00%
2000,IntoTheRain,"Im, Sung Choon","$5,393.24 ","$5,393.24 ",100.00%
2000,Sector,Scott Evans,"$5,300.00 ","$6,300.00 ",84.13%
